number,value,datetime_start,datetime_complete,duration,params_period,params_sl_buffer,params_ta,params_td,params_threshold,params_ts,state
0,0.5767213196695776,2026-05-27 04:35:23.022478,2026-05-27 04:35:24.072998,0 days 00:00:01.050520,15,250,1000,500,40.0,100,COMPLETE
1,0.7700543294123857,2026-05-27 04:35:24.073034,2026-05-27 04:35:24.971323,0 days 00:00:00.898289,8,200,1250,500,37.5,500,COMPLETE
2,0.8081703683695403,2026-05-27 04:35:24.971362,2026-05-27 04:35:25.987908,0 days 00:00:01.016546,25,100,500,750,20.0,300,COMPLETE
3,0.5644782675309518,2026-05-27 04:35:25.987980,2026-05-27 04:35:26.847986,0 days 00:00:00.860006,16,200,500,750,22.5,200,COMPLETE
4,0.9815096067679686,2026-05-27 04:35:26.848042,2026-05-27 04:35:28.177428,0 days 00:00:01.329386,17,100,1000,1000,35.0,100,COMPLETE
5,0.7845613731708884,2026-05-27 04:35:28.177470,2026-05-27 04:35:29.247750,0 days 00:00:01.070280,20,50,1500,1500,17.5,500,COMPLETE
6,0.6011242935547234,2026-05-27 04:35:29.247788,2026-05-27 04:35:30.307405,0 days 00:00:01.059617,13,250,1000,500,17.5,300,COMPLETE
7,0.8002431383263987,2026-05-27 04:35:30.307476,2026-05-27 04:35:31.501846,0 days 00:00:01.194370,7,100,1250,750,40.0,300,COMPLETE
8,0.6453143353720734,2026-05-27 04:35:31.501907,2026-05-27 04:35:32.523230,0 days 00:00:01.021323,19,300,1250,1500,20.0,500,COMPLETE
9,0.29572859206932095,2026-05-27 04:35:32.523280,2026-05-27 04:35:33.677359,0 days 00:00:01.154079,20,50,500,500,40.0,200,COMPLETE
10,0.9476076971044008,2026-05-27 04:35:33.677405,2026-05-27 04:35:34.825951,0 days 00:00:01.148546,27,150,750,1250,32.5,100,COMPLETE
11,0.9656752284717396,2026-05-27 04:35:34.825991,2026-05-27 04:35:36.055172,0 days 00:00:01.229181,28,150,750,1250,32.5,100,COMPLETE
12,0.930235771928201,2026-05-27 04:35:36.055227,2026-05-27 04:35:37.304290,0 days 00:00:01.249063,23,150,750,1250,30.0,100,COMPLETE
13,0.6676869683102307,2026-05-27 04:35:37.304336,2026-05-27 04:35:38.372788,0 days 00:00:01.068452,12,100,750,1000,32.5,200,COMPLETE
14,0.6920302648689961,2026-05-27 04:35:38.372853,2026-05-27 04:35:39.646254,0 days 00:00:01.273401,28,150,1000,1250,27.5,100,COMPLETE
15,0.6006046794236486,2026-05-27 04:35:39.646343,2026-05-27 04:35:40.956541,0 days 00:00:01.310198,23,100,750,1000,35.0,200,COMPLETE
16,0.8656875425393237,2026-05-27 04:35:40.956580,2026-05-27 04:35:41.895758,0 days 00:00:00.939178,11,50,1500,1000,25.0,400,COMPLETE
17,0.8208493617979787,2026-05-27 04:35:41.895801,2026-05-27 04:35:43.064954,0 days 00:00:01.169153,17,200,750,1250,35.0,100,COMPLETE
18,0.873378214381094,2026-05-27 04:35:43.064998,2026-05-27 04:35:44.193158,0 days 00:00:01.128160,24,150,1000,1500,30.0,400,COMPLETE
19,0.8290720069583991,2026-05-27 04:35:44.193199,2026-05-27 04:35:45.322887,0 days 00:00:01.129688,21,100,1250,1250,35.0,200,COMPLETE
20,0.8036919006163995,2026-05-27 04:35:45.322926,2026-05-27 04:35:46.338080,0 days 00:00:01.015154,14,250,750,1000,30.0,100,COMPLETE
21,0.9656752284717396,2026-05-27 04:35:46.338120,2026-05-27 04:35:47.785183,0 days 00:00:01.447063,28,150,750,1250,32.5,100,COMPLETE
22,0.7313131611664013,2026-05-27 04:35:47.785270,2026-05-27 04:35:48.993464,0 days 00:00:01.208194,26,150,1000,1250,32.5,100,COMPLETE
23,0.8029859011134621,2026-05-27 04:35:48.993507,2026-05-27 04:35:50.230657,0 days 00:00:01.237150,28,200,500,1000,27.5,200,COMPLETE
24,0.5405589355184226,2026-05-27 04:35:50.230748,2026-05-27 04:35:51.506669,0 days 00:00:01.275921,22,100,750,1500,37.5,100,COMPLETE
25,0.6705238820333675,2026-05-27 04:35:51.506711,2026-05-27 04:35:52.597197,0 days 00:00:01.090486,18,150,1000,1250,37.5,200,COMPLETE
26,0.6747246433316735,2026-05-27 04:35:52.597239,2026-05-27 04:35:53.674556,0 days 00:00:01.077317,26,50,750,750,27.5,100,COMPLETE
27,0.7742811904122213,2026-05-27 04:35:53.674601,2026-05-27 04:35:54.606088,0 days 00:00:00.931487,10,100,500,1000,32.5,400,COMPLETE
28,1.250116064643078,2026-05-27 04:35:54.606127,2026-05-27 04:35:55.682126,0 days 00:00:01.075999,25,150,1000,1250,35.0,200,COMPLETE
29,1.1511676124359111,2026-05-27 04:35:55.682176,2026-05-27 04:35:56.747167,0 days 00:00:01.064991,25,300,1000,1000,35.0,200,COMPLETE
30,0.6396598137018368,2026-05-27 04:35:56.747208,2026-05-27 04:35:57.821192,0 days 00:00:01.073984,15,300,1000,1000,37.5,300,COMPLETE
31,0.7845081091318621,2026-05-27 04:35:57.821272,2026-05-27 04:35:58.917342,0 days 00:00:01.096070,24,250,1000,1000,35.0,200,COMPLETE
32,0.17218369490301644,2026-05-27 04:35:58.917390,2026-05-27 04:35:59.990076,0 days 00:00:01.072686,26,200,1250,750,37.5,200,COMPLETE
33,1.0320654949964343,2026-05-27 04:35:59.990114,2026-05-27 04:36:01.080426,0 days 00:00:01.090312,25,250,1000,1000,35.0,100,COMPLETE
34,0.11339781094427959,2026-05-27 04:36:01.080470,2026-05-27 04:36:02.182427,0 days 00:00:01.101957,22,300,1000,750,40.0,300,COMPLETE
35,0.9997608541762757,2026-05-27 04:36:02.182475,2026-05-27 04:36:03.247482,0 days 00:00:01.065007,25,250,1000,1000,35.0,200,COMPLETE
36,1.2775093479001955,2026-05-27 04:36:03.247522,2026-05-27 04:36:04.316503,0 days 00:00:01.068981,25,250,1250,750,35.0,200,COMPLETE
37,0.717360862335276,2026-05-27 04:36:04.316556,2026-05-27 04:36:05.184772,0 days 00:00:00.868216,24,300,1250,500,15.0,300,COMPLETE
38,0.7332878001405565,2026-05-27 04:36:05.184815,2026-05-27 04:36:06.286021,0 days 00:00:01.101206,25,250,1250,750,30.0,200,COMPLETE
39,0.12552494280743162,2026-05-27 04:36:06.286067,2026-05-27 04:36:07.379674,0 days 00:00:01.093607,22,300,1500,750,40.0,300,COMPLETE
40,0.7525640764479045,2026-05-27 04:36:07.379710,2026-05-27 04:36:08.353376,0 days 00:00:00.973666,20,250,1250,500,25.0,200,COMPLETE
41,0.9997608541762757,2026-05-27 04:36:08.353417,2026-05-27 04:36:09.496163,0 days 00:00:01.142746,25,250,1000,1000,35.0,200,COMPLETE
42,0.21061197626617556,2026-05-27 04:36:09.496207,2026-05-27 04:36:10.558846,0 days 00:00:01.062639,26,300,1000,750,37.5,200,COMPLETE
43,0.7281449407521745,2026-05-27 04:36:10.558893,2026-05-27 04:36:11.634375,0 days 00:00:01.075482,23,250,1250,1000,35.0,300,COMPLETE
44,0.14417858301991293,2026-05-27 04:36:11.634429,2026-05-27 04:36:12.699525,0 days 00:00:01.065096,27,200,1000,1000,37.5,200,COMPLETE
45,1.2778452837819958,2026-05-27 04:36:12.699565,2026-05-27 04:36:13.771011,0 days 00:00:01.071446,25,250,1250,750,35.0,300,COMPLETE
46,0.9502037956516661,2026-05-27 04:36:13.771050,2026-05-27 04:36:14.864216,0 days 00:00:01.093166,27,200,1250,500,32.5,300,COMPLETE
47,1.1373967587635792,2026-05-27 04:36:14.864265,2026-05-27 04:36:15.927058,0 days 00:00:01.062793,24,300,1500,750,35.0,400,COMPLETE
48,0.1682242775403314,2026-05-27 04:36:15.927098,2026-05-27 04:36:16.982128,0 days 00:00:01.055030,21,300,1500,750,40.0,400,COMPLETE
49,0.5426753710142175,2026-05-27 04:36:16.982174,2026-05-27 04:36:18.032330,0 days 00:00:01.050156,24,300,1500,750,30.0,500,COMPLETE
