number,value,datetime_start,datetime_complete,duration,params_breakout_window_hours,params_end_hour,params_min_body_ratio,params_sl_buffer_pts,params_start_hour,params_trail_act,params_trail_dist,params_trail_step,state
0,0.6425377892139836,2026-05-27 04:36:18.039225,2026-05-27 04:36:18.266874,0 days 00:00:00.227649,5,10,0.6000000000000001,30,1,100,100,100,COMPLETE
1,0.7527784439956928,2026-05-27 04:36:18.266930,2026-05-27 04:36:18.577663,0 days 00:00:00.310733,2,9,0.8,150,1,200,100,20,COMPLETE
2,0.4533228050869287,2026-05-27 04:36:18.577703,2026-05-27 04:36:18.863556,0 days 00:00:00.285853,4,8,0.5,120,0,100,200,40,COMPLETE
3,0.698511910239178,2026-05-27 04:36:18.863600,2026-05-27 04:36:19.172808,0 days 00:00:00.309208,2,9,0.6000000000000001,120,1,100,400,20,COMPLETE
4,0.53909527225311,2026-05-27 04:36:19.172850,2026-05-27 04:36:19.317544,0 days 00:00:00.144694,6,10,0.8,60,0,100,400,60,COMPLETE
5,0.49446896794085554,2026-05-27 04:36:19.317582,2026-05-27 04:36:19.647181,0 days 00:00:00.329599,2,8,0.8,60,0,400,200,60,COMPLETE
6,0.7892706821186153,2026-05-27 04:36:19.647222,2026-05-27 04:36:19.970512,0 days 00:00:00.323290,6,6,0.7000000000000001,180,1,600,300,100,COMPLETE
7,0.3541354696413664,2026-05-27 04:36:19.970560,2026-05-27 04:36:20.284745,0 days 00:00:00.314185,2,6,0.5,90,0,200,500,40,COMPLETE
8,0.48698642146595517,2026-05-27 04:36:20.284807,2026-05-27 04:36:20.594199,0 days 00:00:00.309392,2,8,0.8,30,0,600,400,20,COMPLETE
9,0.5194561237934217,2026-05-27 04:36:20.594245,2026-05-27 04:36:20.751554,0 days 00:00:00.157309,5,10,0.7000000000000001,150,0,100,200,20,COMPLETE
10,0.7394247815098655,2026-05-27 04:36:20.751599,2026-05-27 04:36:21.075097,0 days 00:00:00.323498,6,6,0.4,180,2,600,300,100,COMPLETE
11,0.7754204292064923,2026-05-27 04:36:21.075135,2026-05-27 04:36:21.403418,0 days 00:00:00.328283,4,7,0.7000000000000001,180,2,400,100,80,COMPLETE
12,0.45128670833251067,2026-05-27 04:36:21.403460,2026-05-27 04:36:21.677179,0 days 00:00:00.273719,4,7,0.7000000000000001,180,2,400,300,80,COMPLETE
13,0.8112309740924082,2026-05-27 04:36:21.677222,2026-05-27 04:36:21.999200,0 days 00:00:00.321978,3,7,0.7000000000000001,180,2,500,100,80,COMPLETE
14,0.7835383514465453,2026-05-27 04:36:21.999240,2026-05-27 04:36:22.325081,0 days 00:00:00.325841,3,7,0.6000000000000001,150,2,500,500,80,COMPLETE
15,0.567936941849169,2026-05-27 04:36:22.325120,2026-05-27 04:36:22.644990,0 days 00:00:00.319870,3,6,0.7000000000000001,180,1,500,200,100,COMPLETE
16,0.8352371313185923,2026-05-27 04:36:22.645048,2026-05-27 04:36:22.970237,0 days 00:00:00.325189,3,7,0.6000000000000001,150,1,500,300,80,COMPLETE
17,0.7000927572431617,2026-05-27 04:36:22.970276,2026-05-27 04:36:23.295602,0 days 00:00:00.325326,3,7,0.5,150,2,500,300,80,COMPLETE
18,0.9657134148717228,2026-05-27 04:36:23.295659,2026-05-27 04:36:23.617958,0 days 00:00:00.322299,3,7,0.4,120,1,500,100,60,COMPLETE
19,0.45966140023025964,2026-05-27 04:36:23.617997,2026-05-27 04:36:23.921495,0 days 00:00:00.303498,3,9,0.4,90,1,300,400,40,COMPLETE
20,0.8261966469960095,2026-05-27 04:36:23.921533,2026-05-27 04:36:24.248983,0 days 00:00:00.327450,5,7,0.4,120,1,300,200,60,COMPLETE
