number,value,datetime_start,datetime_complete,duration,params_bb_dev,params_bb_period,params_rsi_ob,params_rsi_os,params_rsi_period,params_shadow_mult,state
0,-10.0,2026-05-27 04:38:20.094242,2026-05-27 04:38:20.751992,0 days 00:00:00.657750,3.0,80,77,18,41,1.25,COMPLETE
1,-10.0,2026-05-27 04:38:20.752029,2026-05-27 04:38:21.410324,0 days 00:00:00.658295,2.8,20,79,15,36,3.0,COMPLETE
2,-10.0,2026-05-27 04:38:21.410362,2026-05-27 04:38:22.072878,0 days 00:00:00.662516,1.8,180,68,21,20,2.0,COMPLETE
3,-10.0,2026-05-27 04:38:22.072914,2026-05-27 04:38:22.728494,0 days 00:00:00.655580,1.9,100,67,21,36,1.75,COMPLETE
4,0.05688714655807249,2026-05-27 04:38:22.728538,2026-05-27 04:38:23.372371,0 days 00:00:00.643833,2.7,100,75,27,21,1.0,COMPLETE
5,0.0047603935258648065,2026-05-27 04:38:23.372407,2026-05-27 04:38:23.833510,0 days 00:00:00.461103,1.7,140,84,35,16,2.75,COMPLETE
6,-10.0,2026-05-27 04:38:23.833547,2026-05-27 04:38:24.483378,0 days 00:00:00.649831,1.6,80,74,17,39,2.0,COMPLETE
7,-10.0,2026-05-27 04:38:24.483418,2026-05-27 04:38:25.130700,0 days 00:00:00.647282,2.9000000000000004,20,78,21,23,2.0,COMPLETE
8,-10.0,2026-05-27 04:38:25.130749,2026-05-27 04:38:25.787437,0 days 00:00:00.656688,1.7,120,81,34,49,3.0,COMPLETE
9,0.14805382546658882,2026-05-27 04:38:25.787473,2026-05-27 04:38:26.363250,0 days 00:00:00.575777,2.9000000000000004,120,69,15,17,1.5,COMPLETE
10,-10.0,2026-05-27 04:38:26.363286,2026-05-27 04:38:27.017460,0 days 00:00:00.654174,2.4,200,71,28,27,1.5,COMPLETE
11,-10.0,2026-05-27 04:38:27.017505,2026-05-27 04:38:27.690517,0 days 00:00:00.673012,2.5,140,72,28,15,1.0,COMPLETE
12,0.0014162968558209805,2026-05-27 04:38:27.690561,2026-05-27 04:38:28.098087,0 days 00:00:00.407526,2.6,60,65,26,28,1.0,COMPLETE
13,-10.0,2026-05-27 04:38:28.098126,2026-05-27 04:38:28.756659,0 days 00:00:00.658533,2.1,160,70,31,21,1.5,COMPLETE
14,-10.0,2026-05-27 04:38:28.756706,2026-05-27 04:38:29.419404,0 days 00:00:00.662698,2.7,120,74,24,14,1.25,COMPLETE
