number,value,datetime_start,datetime_complete,duration,params_buffer,params_sl_buffer,params_ta,params_td,params_ts,state
0,0.2893224900121119,2026-05-27 04:36:32.993885,2026-05-27 04:36:33.039506,0 days 00:00:00.045621,40,80,1250,1000,100,COMPLETE
1,0.6120628459097892,2026-05-27 04:36:33.039556,2026-05-27 04:36:33.094782,0 days 00:00:00.055226,20,10,1500,1250,400,COMPLETE
2,0.7998648579604714,2026-05-27 04:36:33.094822,2026-05-27 04:36:33.155985,0 days 00:00:00.061163,10,80,1500,750,100,COMPLETE
3,0.3410559236339955,2026-05-27 04:36:33.156052,2026-05-27 04:36:33.193677,0 days 00:00:00.037625,20,30,1000,1000,200,COMPLETE
4,0.25283494486096686,2026-05-27 04:36:33.193731,2026-05-27 04:36:33.230497,0 days 00:00:00.036766,70,20,750,750,300,COMPLETE
5,0.26549442150712327,2026-05-27 04:36:33.230537,2026-05-27 04:36:33.268613,0 days 00:00:00.038076,80,20,1000,1000,100,COMPLETE
6,0.7626513706293399,2026-05-27 04:36:33.268702,2026-05-27 04:36:33.345403,0 days 00:00:00.076701,70,20,500,1500,500,COMPLETE
7,0.6645193991170987,2026-05-27 04:36:33.345450,2026-05-27 04:36:33.411013,0 days 00:00:00.065563,90,30,500,1250,300,COMPLETE
8,0.31300797339684794,2026-05-27 04:36:33.411065,2026-05-27 04:36:33.451592,0 days 00:00:00.040527,20,40,500,1500,200,COMPLETE
9,0.27178084350242,2026-05-27 04:36:33.451635,2026-05-27 04:36:33.490262,0 days 00:00:00.038627,70,30,1000,1000,100,COMPLETE
10,0.7837196141941812,2026-05-27 04:36:33.490310,2026-05-27 04:36:33.559157,0 days 00:00:00.068847,40,80,1500,500,200,COMPLETE
11,0.7837196141941812,2026-05-27 04:36:33.559196,2026-05-27 04:36:33.626057,0 days 00:00:00.066861,40,80,1500,500,200,COMPLETE
12,0.7866489941522244,2026-05-27 04:36:33.626098,2026-05-27 04:36:33.693233,0 days 00:00:00.067135,40,60,1500,500,200,COMPLETE
