number,value,datetime_start,datetime_complete,duration,params_fast,params_signal,params_sl_buffer,params_slow,params_ta,params_td,params_ts,state
0,0.7829835998772581,2026-05-27 04:34:23.507417,2026-05-27 04:34:24.663102,0 days 00:00:01.155685,12,10,200,35,500,500,100,COMPLETE
1,1.1055534951583021,2026-05-27 04:34:24.663163,2026-05-27 04:34:25.955634,0 days 00:00:01.292471,18,10,50,29,1500,1500,200,COMPLETE
2,1.0523129869485095,2026-05-27 04:34:25.955720,2026-05-27 04:34:27.240848,0 days 00:00:01.285128,10,7,200,23,1000,750,400,COMPLETE
3,0.8846107192851924,2026-05-27 04:34:27.240896,2026-05-27 04:34:28.447477,0 days 00:00:01.206581,8,7,150,25,1250,500,300,COMPLETE
4,1.1572120447130618,2026-05-27 04:34:28.447525,2026-05-27 04:34:29.705810,0 days 00:00:01.258285,14,9,100,21,500,1500,500,COMPLETE
5,1.1397228074639436,2026-05-27 04:34:29.705877,2026-05-27 04:34:31.084496,0 days 00:00:01.378619,16,5,250,25,1000,500,300,COMPLETE
6,1.226156049627762,2026-05-27 04:34:31.084542,2026-05-27 04:34:32.472520,0 days 00:00:01.387978,8,7,200,35,750,1000,300,COMPLETE
7,1.1470121216500349,2026-05-27 04:34:32.472561,2026-05-27 04:34:33.746613,0 days 00:00:01.274052,10,11,300,35,1500,1000,500,COMPLETE
8,0.8765412089304887,2026-05-27 04:34:33.746655,2026-05-27 04:34:34.932645,0 days 00:00:01.185990,8,5,100,23,750,750,500,COMPLETE
9,1.0317791845668043,2026-05-27 04:34:34.932684,2026-05-27 04:34:36.111437,0 days 00:00:01.178753,12,9,50,25,1500,500,500,COMPLETE
10,1.183297708380221,2026-05-27 04:34:36.111480,2026-05-27 04:34:37.351642,0 days 00:00:01.240162,14,7,300,31,750,1250,200,COMPLETE
11,1.183297708380221,2026-05-27 04:34:37.351682,2026-05-27 04:34:38.574835,0 days 00:00:01.223153,14,7,300,31,750,1250,200,COMPLETE
12,1.2400754762778512,2026-05-27 04:34:38.574909,2026-05-27 04:34:39.785046,0 days 00:00:01.210137,16,6,250,31,750,1250,200,COMPLETE
13,1.0816534369110968,2026-05-27 04:34:39.785085,2026-05-27 04:34:40.943236,0 days 00:00:01.158151,18,6,250,33,750,1000,300,COMPLETE
