number,value,datetime_start,datetime_complete,duration,params_fast_ema,params_fibo_bottom,params_fibo_top,params_kdj_d,params_kdj_period,params_kdj_s,params_max_sl_pts,params_sl_buffer_pts,params_slow_ema,params_stoch_ob,params_stoch_os,params_trail_start,params_trail_step,params_zone_buffer_pts,state
0,0.7843396510834525,2026-05-27 04:34:03.772384,2026-05-27 04:34:04.139709,0 days 00:00:00.367325,20,0.677,0.5,5,11,2,1000,200,60,60,20,1600,200,160,COMPLETE
1,1.6629997645717862,2026-05-27 04:34:04.139774,2026-05-27 04:34:04.515049,0 days 00:00:00.375275,10,0.618,0.382,5,7,4,950,300,40,65,35,1200,300,120,COMPLETE
2,0.9312451292279916,2026-05-27 04:34:04.515104,2026-05-27 04:34:04.900985,0 days 00:00:00.385881,20,0.618,0.5,3,11,2,850,400,40,85,45,1200,300,80,COMPLETE
3,1.219385050134404,2026-05-27 04:34:04.901046,2026-05-27 04:34:05.293647,0 days 00:00:00.392601,10,0.736,0.382,5,7,3,1000,500,60,70,35,1400,500,200,COMPLETE
4,1.38715082028816,2026-05-27 04:34:05.293699,2026-05-27 04:34:05.705265,0 days 00:00:00.411566,10,0.618,0.441,3,5,4,950,200,40,60,40,1200,500,160,COMPLETE
5,1.1631577369427417,2026-05-27 04:34:05.705308,2026-05-27 04:34:06.061182,0 days 00:00:00.355874,30,0.677,0.382,6,5,6,900,500,40,80,40,1200,100,80,COMPLETE
6,1.2564274995599003,2026-05-27 04:34:06.061225,2026-05-27 04:34:06.418319,0 days 00:00:00.357094,10,0.736,0.5,5,11,7,850,500,40,70,20,1400,300,160,COMPLETE
7,1.035087420728096,2026-05-27 04:34:06.418364,2026-05-27 04:34:06.804299,0 days 00:00:00.385935,10,0.677,0.382,5,5,3,700,200,40,70,45,1200,100,200,COMPLETE
8,0.7042782742756951,2026-05-27 04:34:06.804340,2026-05-27 04:34:06.992704,0 days 00:00:00.188364,30,0.736,0.441,7,11,6,700,300,60,60,45,1200,300,200,COMPLETE
9,1.0359361313405335,2026-05-27 04:34:06.992747,2026-05-27 04:34:07.355053,0 days 00:00:00.362306,30,0.736,0.441,5,5,4,900,400,60,60,20,1400,500,120,COMPLETE
10,1.3718495126993988,2026-05-27 04:34:07.355094,2026-05-27 04:34:07.743203,0 days 00:00:00.388109,20,0.618,0.382,2,9,5,800,300,50,75,30,1600,400,120,COMPLETE
11,1.235794139439702,2026-05-27 04:34:07.743249,2026-05-27 04:34:08.152193,0 days 00:00:00.408944,10,0.618,0.441,3,7,4,950,200,50,55,35,1200,400,120,COMPLETE
12,1.3861121619299321,2026-05-27 04:34:08.152240,2026-05-27 04:34:08.570435,0 days 00:00:00.418195,10,0.618,0.441,3,7,5,950,300,50,65,30,1200,400,160,COMPLETE
13,1.4617808989669958,2026-05-27 04:34:08.570483,2026-05-27 04:34:08.993519,0 days 00:00:00.423036,10,0.618,0.382,4,7,3,950,200,40,55,40,1400,200,120,COMPLETE
14,1.3282584473614565,2026-05-27 04:34:08.993561,2026-05-27 04:34:09.423860,0 days 00:00:00.430299,20,0.618,0.382,4,9,3,900,300,40,55,40,1400,200,80,COMPLETE
15,1.4280970139358171,2026-05-27 04:34:09.423905,2026-05-27 04:34:09.811862,0 days 00:00:00.387957,20,0.677,0.382,4,13,3,1000,400,50,65,25,1400,200,120,COMPLETE
16,1.050622458231823,2026-05-27 04:34:09.811906,2026-05-27 04:34:10.202713,0 days 00:00:00.390807,10,0.677,0.382,7,7,2,800,200,50,55,35,1600,200,120,COMPLETE
17,1.8174547544939035,2026-05-27 04:34:10.202765,2026-05-27 04:34:10.599906,0 days 00:00:00.397141,10,0.618,0.382,6,9,5,950,300,40,65,40,1400,100,80,COMPLETE
18,1.6262936630717215,2026-05-27 04:34:10.599949,2026-05-27 04:34:10.974335,0 days 00:00:00.374386,10,0.618,0.382,6,9,6,800,300,40,65,30,1600,100,80,COMPLETE
19,0.5899970372702632,2026-05-27 04:34:10.974378,2026-05-27 04:34:11.425132,0 days 00:00:00.450754,20,0.677,0.441,6,13,5,850,400,50,75,25,1400,300,80,COMPLETE
20,1.6321211235067041,2026-05-27 04:34:11.425191,2026-05-27 04:34:11.827367,0 days 00:00:00.402176,20,0.618,0.441,6,9,7,900,300,40,75,35,1600,100,80,COMPLETE
21,1.6321211235067041,2026-05-27 04:34:11.827429,2026-05-27 04:34:12.220161,0 days 00:00:00.392732,20,0.618,0.441,6,9,7,900,300,40,75,35,1600,100,80,COMPLETE
22,1.7383732192429748,2026-05-27 04:34:12.220203,2026-05-27 04:34:12.617729,0 days 00:00:00.397526,30,0.618,0.5,7,9,7,950,300,40,80,40,1600,100,80,COMPLETE
23,1.7867731344345161,2026-05-27 04:34:12.617773,2026-05-27 04:34:13.004309,0 days 00:00:00.386536,30,0.618,0.5,7,9,6,950,300,40,85,40,1600,100,80,COMPLETE
24,1.7536657501402526,2026-05-27 04:34:13.004351,2026-05-27 04:34:13.394631,0 days 00:00:00.390280,30,0.618,0.5,7,11,6,1000,400,40,85,40,1600,100,80,COMPLETE
25,1.5026953450690232,2026-05-27 04:34:13.394678,2026-05-27 04:34:13.787291,0 days 00:00:00.392613,30,0.618,0.5,7,11,6,1000,400,40,85,45,1600,100,80,COMPLETE
26,1.4850616443139641,2026-05-27 04:34:13.787348,2026-05-27 04:34:14.186014,0 days 00:00:00.398666,30,0.677,0.5,7,13,5,1000,400,50,80,40,1400,200,80,COMPLETE
27,1.5026953450690232,2026-05-27 04:34:14.186066,2026-05-27 04:34:14.586245,0 days 00:00:00.400179,30,0.618,0.5,7,11,6,1000,400,40,85,45,1600,100,80,COMPLETE
28,1.202970858639427,2026-05-27 04:34:14.586289,2026-05-27 04:34:14.991110,0 days 00:00:00.404821,30,0.677,0.5,6,11,6,750,400,50,80,40,1600,200,120,COMPLETE
29,1.7658051125685859,2026-05-27 04:34:14.991179,2026-05-27 04:34:15.385642,0 days 00:00:00.394463,30,0.618,0.5,7,11,5,1000,500,40,85,40,1400,200,80,COMPLETE
30,1.390886379319198,2026-05-27 04:34:15.385700,2026-05-27 04:34:15.811579,0 days 00:00:00.425879,20,0.677,0.5,6,9,5,950,500,40,85,45,1400,200,160,COMPLETE
31,1.7806926920244304,2026-05-27 04:34:15.811623,2026-05-27 04:34:16.222768,0 days 00:00:00.411145,30,0.618,0.5,7,11,5,1000,500,40,85,40,1400,100,80,COMPLETE
32,1.473390372647277,2026-05-27 04:34:16.222812,2026-05-27 04:34:16.616567,0 days 00:00:00.393755,30,0.618,0.5,7,9,5,1000,500,40,80,40,1400,100,80,COMPLETE
33,1.6554146791931423,2026-05-27 04:34:16.616609,2026-05-27 04:34:16.996136,0 days 00:00:00.379527,30,0.618,0.5,7,11,5,950,500,40,85,35,1400,100,80,COMPLETE
34,1.302126761805605,2026-05-27 04:34:16.996190,2026-05-27 04:34:17.393025,0 days 00:00:00.396835,30,0.618,0.5,6,13,4,1000,500,40,80,45,1400,200,80,COMPLETE
35,1.3400507495484222,2026-05-27 04:34:17.393083,2026-05-27 04:34:17.780390,0 days 00:00:00.387307,30,0.618,0.5,7,11,4,950,500,40,85,40,1400,100,80,COMPLETE
36,1.8397066131039403,2026-05-27 04:34:17.780433,2026-05-27 04:34:18.180025,0 days 00:00:00.399592,30,0.618,0.5,6,11,5,1000,500,40,85,35,1400,200,120,COMPLETE
37,1.5274979749961999,2026-05-27 04:34:18.180069,2026-05-27 04:34:18.577541,0 days 00:00:00.397472,30,0.618,0.5,6,9,6,950,300,40,70,35,1400,200,120,COMPLETE
38,1.4388860232580227,2026-05-27 04:34:18.577584,2026-05-27 04:34:18.972350,0 days 00:00:00.394766,20,0.618,0.5,5,13,4,1000,500,40,80,35,1400,100,120,COMPLETE
39,1.4229519370769566,2026-05-27 04:34:18.972398,2026-05-27 04:34:19.371069,0 days 00:00:00.398671,20,0.618,0.441,6,9,5,900,300,50,65,30,1400,300,160,COMPLETE
40,1.3084275206413287,2026-05-27 04:34:19.371132,2026-05-27 04:34:19.830461,0 days 00:00:00.459329,30,0.677,0.441,5,11,6,950,200,40,75,40,1200,100,120,COMPLETE
41,1.7658051125685859,2026-05-27 04:34:19.830504,2026-05-27 04:34:20.239100,0 days 00:00:00.408596,30,0.618,0.5,7,11,5,1000,500,40,85,40,1400,200,80,COMPLETE
42,1.7369164563922386,2026-05-27 04:34:20.239162,2026-05-27 04:34:20.646743,0 days 00:00:00.407581,30,0.618,0.5,7,11,5,1000,500,40,85,40,1400,300,80,COMPLETE
43,1.4741054627821788,2026-05-27 04:34:20.646787,2026-05-27 04:34:21.055071,0 days 00:00:00.408284,30,0.618,0.5,6,11,4,1000,500,40,85,45,1400,200,80,COMPLETE
44,1.549223749001745,2026-05-27 04:34:21.055118,2026-05-27 04:34:21.433896,0 days 00:00:00.378778,30,0.618,0.5,7,9,5,950,500,40,85,35,1400,100,80,COMPLETE
45,1.8626635037391146,2026-05-27 04:34:21.433981,2026-05-27 04:34:21.832459,0 days 00:00:00.398478,30,0.618,0.5,5,11,4,1000,500,40,80,40,1400,300,120,COMPLETE
46,1.236353638505041,2026-05-27 04:34:21.832500,2026-05-27 04:34:22.244636,0 days 00:00:00.412136,30,0.618,0.5,5,7,4,900,400,60,80,45,1400,400,120,COMPLETE
47,1.198329459756149,2026-05-27 04:34:22.244680,2026-05-27 04:34:22.669221,0 days 00:00:00.424541,30,0.736,0.441,5,9,4,950,300,40,60,35,1200,300,120,COMPLETE
48,1.5865989762396613,2026-05-27 04:34:22.669262,2026-05-27 04:34:23.088135,0 days 00:00:00.418873,10,0.618,0.5,4,11,4,950,500,40,70,40,1400,400,160,COMPLETE
49,1.5335590159319679,2026-05-27 04:34:23.088182,2026-05-27 04:34:23.489479,0 days 00:00:00.401297,20,0.618,0.5,5,13,6,1000,300,40,80,40,1400,300,200,COMPLETE
