number,value,datetime_start,datetime_complete,duration,params_pulse_pts,params_sl_buffer,params_streak,params_ta,params_td,params_ts,state
0,0.8919670365701227,2026-05-27 04:39:26.544113,2026-05-27 04:39:29.861852,0 days 00:00:03.317739,600,350,5,350,100,20,COMPLETE
1,0.7920814234353369,2026-05-27 04:39:29.861910,2026-05-27 04:39:30.714734,0 days 00:00:00.852824,550,300,3,400,100,100,COMPLETE
2,0.6899703328596793,2026-05-27 04:39:30.714797,2026-05-27 04:39:31.492462,0 days 00:00:00.777665,200,150,7,200,150,60,COMPLETE
3,0.7036816458963965,2026-05-27 04:39:31.492526,2026-05-27 04:39:32.213409,0 days 00:00:00.720883,250,300,5,200,150,40,COMPLETE
4,0.7852141707470686,2026-05-27 04:39:32.213486,2026-05-27 04:39:33.245782,0 days 00:00:01.032296,500,150,5,350,200,20,COMPLETE
5,0.8412152805415033,2026-05-27 04:39:33.245840,2026-05-27 04:39:34.036928,0 days 00:00:00.791088,150,100,6,500,300,100,COMPLETE
6,0.8752379842806041,2026-05-27 04:39:34.037024,2026-05-27 04:39:34.770186,0 days 00:00:00.733162,150,300,4,300,100,60,COMPLETE
7,0.6677460311130876,2026-05-27 04:39:34.770268,2026-05-27 04:39:35.477578,0 days 00:00:00.707310,600,150,3,400,150,60,COMPLETE
8,0.7181849922099348,2026-05-27 04:39:35.477689,2026-05-27 04:39:36.221470,0 days 00:00:00.743781,200,400,6,450,300,100,COMPLETE
9,0.8421918192841222,2026-05-27 04:39:36.221533,2026-05-27 04:39:39.998547,0 days 00:00:03.777014,600,100,6,200,100,40,COMPLETE
10,0.8593960712993719,2026-05-27 04:39:39.998607,2026-05-27 04:39:43.259615,0 days 00:00:03.261008,400,400,8,300,250,20,COMPLETE
11,0.8866334225297268,2026-05-27 04:39:43.259683,2026-05-27 04:39:44.257469,0 days 00:00:00.997786,400,300,4,300,100,80,COMPLETE
12,0.7590469410062965,2026-05-27 04:39:44.257537,2026-05-27 04:39:44.938770,0 days 00:00:00.681233,400,350,4,300,200,80,COMPLETE
13,0.7639261293742649,2026-05-27 04:39:44.938839,2026-05-27 04:39:45.648546,0 days 00:00:00.709707,450,250,4,250,100,80,COMPLETE
14,0.7865572202091712,2026-05-27 04:39:45.648608,2026-05-27 04:39:46.349904,0 days 00:00:00.701296,300,250,5,350,150,80,COMPLETE
15,0.8382144513207832,2026-05-27 04:39:46.349986,2026-05-27 04:39:47.050169,0 days 00:00:00.700183,350,350,4,400,100,40,COMPLETE
16,0.41897809635571026,2026-05-27 04:39:47.050234,2026-05-27 04:39:47.687458,0 days 00:00:00.637224,500,350,3,150,250,20,COMPLETE
17,0.8647968391693469,2026-05-27 04:39:47.687523,2026-05-27 04:39:51.243814,0 days 00:00:03.556291,500,200,7,250,150,80,COMPLETE
18,0.756946226815593,2026-05-27 04:39:51.243896,2026-05-27 04:39:52.002081,0 days 00:00:00.758185,350,300,5,350,200,40,COMPLETE
19,0.8785486726597781,2026-05-27 04:39:52.002161,2026-05-27 04:39:52.739439,0 days 00:00:00.737278,100,400,4,450,100,80,COMPLETE
20,0.864616682007002,2026-05-27 04:39:52.739509,2026-05-27 04:39:56.675592,0 days 00:00:03.936083,550,350,7,250,200,60,COMPLETE
21,0.905407286572361,2026-05-27 04:39:56.675653,2026-05-27 04:39:57.422455,0 days 00:00:00.746802,100,400,4,500,100,80,COMPLETE
22,0.8677094090039622,2026-05-27 04:39:57.422519,2026-05-27 04:39:58.120025,0 days 00:00:00.697506,300,400,4,500,100,80,COMPLETE
23,0.8219427314579776,2026-05-27 04:39:58.120092,2026-05-27 04:39:59.028453,0 days 00:00:00.908361,400,350,5,450,150,100,COMPLETE
24,0.7993904631425314,2026-05-27 04:39:59.028537,2026-05-27 04:39:59.695501,0 days 00:00:00.666964,100,300,3,500,100,60,COMPLETE
25,0.8224089712396186,2026-05-27 04:39:59.695564,2026-05-27 04:40:00.448840,0 days 00:00:00.753276,300,400,4,400,150,80,COMPLETE
26,0.8419597285528221,2026-05-27 04:40:00.449001,2026-05-27 04:40:01.773125,0 days 00:00:01.324124,450,250,5,350,100,60,COMPLETE
27,0.7613733337274281,2026-05-27 04:40:01.773317,2026-05-27 04:40:02.581454,0 days 00:00:00.808137,250,350,3,300,150,100,COMPLETE
28,0.791507719237009,2026-05-27 04:40:02.581518,2026-05-27 04:40:03.566642,0 days 00:00:00.985124,450,250,6,450,250,80,COMPLETE
29,0.6873365680748429,2026-05-27 04:40:03.566715,2026-05-27 04:40:04.304472,0 days 00:00:00.737757,550,350,3,150,100,100,COMPLETE
30,0.8072022921545063,2026-05-27 04:40:04.304537,2026-05-27 04:40:05.761529,0 days 00:00:01.456992,600,300,4,250,100,20,COMPLETE
31,0.8785486726597781,2026-05-27 04:40:05.761604,2026-05-27 04:40:06.612244,0 days 00:00:00.850640,100,400,4,450,100,80,COMPLETE
32,0.8986741706807754,2026-05-27 04:40:06.612358,2026-05-27 04:40:07.714382,0 days 00:00:01.102024,150,400,4,500,100,80,COMPLETE
33,0.5991470084875012,2026-05-27 04:40:07.714472,2026-05-27 04:40:08.493398,0 days 00:00:00.778926,150,400,5,500,150,60,COMPLETE
34,0.8800077587604109,2026-05-27 04:40:08.493475,2026-05-27 04:40:09.339852,0 days 00:00:00.846377,200,350,5,500,100,80,COMPLETE
35,0.8366353585354068,2026-05-27 04:40:09.339942,2026-05-27 04:40:10.024975,0 days 00:00:00.685033,250,400,4,400,150,100,COMPLETE
36,0.6553249651353674,2026-05-27 04:40:10.025038,2026-05-27 04:40:10.659371,0 days 00:00:00.634333,150,300,3,200,100,40,COMPLETE
37,0.8399645606827465,2026-05-27 04:40:10.659433,2026-05-27 04:40:11.366613,0 days 00:00:00.707180,250,200,5,350,100,60,COMPLETE
38,0.8398176294220288,2026-05-27 04:40:11.366676,2026-05-27 04:40:12.161455,0 days 00:00:00.794779,150,300,6,400,150,100,COMPLETE
39,0.8602570242311259,2026-05-27 04:40:12.161537,2026-05-27 04:40:12.898284,0 days 00:00:00.736747,200,350,4,450,100,80,COMPLETE
40,0.6929758306423145,2026-05-27 04:40:12.898348,2026-05-27 04:40:13.615402,0 days 00:00:00.717054,100,400,3,500,100,40,COMPLETE
41,0.8800077587604109,2026-05-27 04:40:13.615538,2026-05-27 04:40:14.531076,0 days 00:00:00.915538,200,350,5,500,100,80,COMPLETE
42,0.8800077587604109,2026-05-27 04:40:14.531226,2026-05-27 04:40:15.372613,0 days 00:00:00.841387,200,350,5,500,100,80,COMPLETE
43,0.8905403587231087,2026-05-27 04:40:15.372674,2026-05-27 04:40:16.293841,0 days 00:00:00.921167,150,300,6,500,100,60,COMPLETE
44,0.8398563723055149,2026-05-27 04:40:16.293908,2026-05-27 04:40:17.042141,0 days 00:00:00.748233,150,300,6,450,150,20,COMPLETE
45,0.8395568789544741,2026-05-27 04:40:17.042202,2026-05-27 04:40:17.792490,0 days 00:00:00.750288,100,300,6,300,100,60,COMPLETE
46,0.9973341300413251,2026-05-27 04:40:17.792556,2026-05-27 04:40:22.700066,0 days 00:00:04.907510,550,400,7,450,100,100,COMPLETE
