number,value,datetime_start,datetime_complete,duration,params_fib_tol,params_scan,params_sl_buf,params_ta,params_td,params_ts,state
0,0.95833860664894,2026-05-27 04:36:36.018338,2026-05-27 04:36:38.244191,0 days 00:00:02.225853,300,90,40,1000,500,100,COMPLETE
1,0.9825765929922923,2026-05-27 04:36:38.244230,2026-05-27 04:36:40.522498,0 days 00:00:02.278268,300,80,10,1250,500,500,COMPLETE
2,0.5974505168793687,2026-05-27 04:36:40.522540,2026-05-27 04:36:42.499551,0 days 00:00:01.977011,100,60,90,500,750,300,COMPLETE
3,0.9577024178625236,2026-05-27 04:36:42.499595,2026-05-27 04:36:44.650999,0 days 00:00:02.151404,100,80,50,500,750,200,COMPLETE
4,1.060406284758872,2026-05-27 04:36:44.651043,2026-05-27 04:36:46.845572,0 days 00:00:02.194529,250,60,50,1000,1000,100,COMPLETE
5,1.2159792594858658,2026-05-27 04:36:46.845616,2026-05-27 04:36:48.993133,0 days 00:00:02.147517,100,50,70,1500,1500,500,COMPLETE
6,0.92305809035378,2026-05-27 04:36:48.993174,2026-05-27 04:36:51.119829,0 days 00:00:02.126655,50,90,40,1000,500,300,COMPLETE
7,1.003932535717126,2026-05-27 04:36:51.119873,2026-05-27 04:36:53.173749,0 days 00:00:02.053876,300,60,10,1250,750,300,COMPLETE
8,1.2598542243682562,2026-05-27 04:36:53.173792,2026-05-27 04:36:55.242991,0 days 00:00:02.069199,100,100,60,1250,1500,500,COMPLETE
9,0.7617479162138189,2026-05-27 04:36:55.243031,2026-05-27 04:36:57.207348,0 days 00:00:01.964317,300,50,60,500,500,200,COMPLETE
10,1.260239217045671,2026-05-27 04:36:57.207385,2026-05-27 04:36:59.270849,0 days 00:00:02.063464,200,100,100,1500,1500,400,COMPLETE
11,1.260239217045671,2026-05-27 04:36:59.270886,2026-05-27 04:37:01.353125,0 days 00:00:02.082239,200,100,100,1500,1500,400,COMPLETE
12,1.1499699412267865,2026-05-27 04:37:01.353165,2026-05-27 04:37:03.444276,0 days 00:00:02.091111,200,100,100,1500,1250,400,COMPLETE
13,1.1819213862055107,2026-05-27 04:37:03.444315,2026-05-27 04:37:05.519410,0 days 00:00:02.075095,200,100,80,1500,1250,400,COMPLETE
14,1.0597239758163226,2026-05-27 04:37:05.519452,2026-05-27 04:37:07.635922,0 days 00:00:02.116470,150,90,100,1500,1250,400,COMPLETE
15,1.3428414310691899,2026-05-27 04:37:07.635963,2026-05-27 04:37:09.762916,0 days 00:00:02.126953,200,90,80,750,1500,400,COMPLETE
16,1.2428545730378313,2026-05-27 04:37:09.763002,2026-05-27 04:37:11.937088,0 days 00:00:02.174086,250,80,80,750,1250,400,COMPLETE
